SITE_ID,SITE,SLFL,nYears,yearList,yearRange,summerStart,fileName
1,Agincourt Reef Number 3,SL,16,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",1996-2011,Oct-01,AgincourtReefNumber3_clim-SL.csv
1,Agincourt Reef Number 3,FL,10,"1996, 1997, 1998, 1999, 2003, 2004, 2005, 2006, 2007, 2008","1996-1999, 2003-2008",Oct-01,AgincourtReefNumber3_clim-FL.csv
3,Cleveland Bay,WS,5,"2004, 2005, 2006, 2007, 2008",2004-2008,Oct-01,
4,Davies Reef,WS,13,"1999, 2000, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012","1999, 2000, 2002-2012",Oct-01,DaviesReef_clim-WS.csv
4,Davies Reef,SL,15,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2012","1996-2009, 2012",Oct-01,DaviesReef_clim-SL.csv
4,Davies Reef,FL,14,"1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2012","1997-2009, 2012",Oct-01,DaviesReef_clim-FL.csv
4,Davies Reef,CH,0,,,Oct-01,
6,Hardy Reef,WS,1,2002,2002,Oct-01,
7,Myrmidon Reef,SL,18,"1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",1995-2012,Oct-01,MyrmidonReef_clim-SL.csv
7,Myrmidon Reef,FL,17,"1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2011, 2012","1995-2009, 2011, 2012",Oct-01,MyrmidonReef_clim-FL.csv
9,Orpheus Island,FL,2,"2011, 2012","2011, 2012",Oct-01,
9,Orpheus Island,CH,0,,,Oct-01,
742,AIMS Wharf WS,OTH,1,2012,2012,Oct-01,
743,Rib Reef,FL,0,,,Oct-01,
743,Rib Reef,SL,0,,,Oct-01,
743,Rib Reef,CH,0,,,Oct-01,
747,John Brewer,SL,14,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2009, 2010","1996-2007, 2009, 2010",Oct-01,JohnBrewer_clim-SL.csv
747,John Brewer,FL,13,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2007, 2008, 2009, 2010, 2011","1998-2005, 2007-2011",Oct-01,JohnBrewer_clim-FL.csv
747,John Brewer,CH,0,,,Oct-01,
856,Cattle Bay,FL,20,"1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",1993-2012,Oct-01,CattleBay_clim-FL.csv
856,Cattle Bay,SL,19,"1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012","1993-2000, 2002-2012",Oct-01,CattleBay_clim-SL.csv
857,Raine Island,FL,9,"1996, 1997, 1998, 2002, 2003, 2004, 2006, 2007, 2012","1996-1998, 2002-2004, 2006, 2007, 2012",Oct-01,
857,Raine Island,SL,10,"1995, 1996, 1997, 1998, 2006, 2007, 2008, 2009, 2011, 2012","1995-1998, 2006-2009, 2011, 2012",Oct-01,RaineIsland_clim-SL.csv
858,Tydeman Cay,SL,15,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2011, 2012","1996-2008, 2011, 2012",Oct-01,TydemanCay_clim-SL.csv
858,Tydeman Cay,FL,0,,,Oct-01,
859,Coconut Beach Reef,SL,12,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007",1996-2007,Oct-01,CoconutBeachReef_clim-SL.csv
859,Coconut Beach Reef,FL,13,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008",1996-2008,Oct-01,CoconutBeachReef_clim-FL.csv
860,Black Rocks Reef,SL,12,"1995, 1996, 1997, 1998, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007","1995-1998, 2000-2007",Oct-01,BlackRocksReef_clim-SL.csv
860,Black Rocks Reef,FL,13,"1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007",1995-2007,Oct-01,BlackRocksReef_clim-FL.csv
863,Kelso Reef,SL,18,"1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",1995-2012,Oct-01,KelsoReef_clim-SL.csv
863,Kelso Reef,FL,18,"1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",1995-2012,Oct-01,KelsoReef_clim-FL.csv
865,Hayman Island,FL,13,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2005, 2006, 2007, 2008, 2010, 2011","1996-2002, 2005-2008, 2010, 2011",Oct-01,HaymanIsland_clim-FL.csv
865,Hayman Island,SL,12,"1996, 1998, 1999, 2000, 2001, 2005, 2006, 2007, 2008, 2010, 2011, 2012","1996, 1998-2001, 2005-2008, 2010-2012",Oct-01,HaymanIsland_clim-SL.csv
866,Daydream Island,FL,15,"1996, 1997, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2011, 2012","1996, 1997, 1999-2009, 2011, 2012",Oct-01,DaydreamIsland_clim-FL.csv
866,Daydream Island,SL,17,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",1996-2012,Oct-01,DaydreamIsland_clim-SL.csv
867,Pioneer Bay,SL,17,"1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2010, 2011","1992-2006, 2010, 2011",Oct-01,PioneerBay_clim-SL.csv
