SITE_ID,SITE,TYPE,LONGITUDE,LATITUDE,DATE_START,DATE_END,LOCATIONS_AVAILABLE,LOCLATLON_PAIRS,NOMINAL_DEPTH_AVAILABLE,YEARS_AVAILABLE,YEAR_RANGE,NUMBER_RECORDS,CLIM_SSTAARS,CLIM_LOGGER,CLIM_FLAT,CLIM_SLOPE,FILE_DATA,FILE_CLIM_SSTAARS,FILE_CLIM_FLAT,FILE_CLIM_SLOPE,FILE_HTML_DASHBOARD
4,Davies Reef,TEMP-LOGGER,147.6458640777778,-18.824415551111112,1996-05-02T14:00:00Z,2019-06-29T23:50:00Z,"WS, SL, FL, CH","DAVAWSL2|-18.83128|147.634, DAVAWSL3|-18.83116|147.63382, DAVSL1|-18.80599997|147.6686167, DAVFL1|-18.80654999|147.6688, DAVAWS|-18.82968|147.63845, DAVAWSL1|-18.83122|147.63391, DAVIESCH1|-18.83008|147.63145, DAVIESCH2|-18.83008|147.63145, DAVCHN3M|-18.80602|147.66887, DAVCHS12M|-18.84775|147.63486, DAVCHS3M|-18.84775|147.63486, DAVCHS6M|-18.84775|147.63486","8.2, 18, 8, 1, 1.5, 8.3, 18.1, 7.7, 4.4, 3.9, 3.8, 8.4, 4, 3.2, 5.7, 2.2, 6, 3.3, NA, 2","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",1996-2019,2519457,TRUE,TRUE,TRUE,TRUE,DaviesReef.csv,DaviesReef_clim-SSTAARS.csv,DaviesReef_clim-FL.csv,DaviesReef_clim-SL.csv,site-4_DaviesReef.html
7,Myrmidon Reef,TEMP-LOGGER,147.381371775,-18.2616539675,1995-04-13T09:00:00Z,2019-05-28T23:50:00Z,"SL, FL","MYRSL1|-18.25716661|147.3812667, MYRSL2A|-18.274247|147.381736, MYRSL2B|-18.274247|147.381736, MYRDSL1|-18.25673|147.38104, MYRFL1|-18.25847226|147.3814444, MYRSL3B|-18.274247|147.381736, MYRSL3A|-18.274247|147.381736","8, 7, 19.2, 7.4, 4, 20, 3.9, 20.1, 3.8, 19, 10, 7.6, 11.4, NA","1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2017, 2018, 2019","1995-2015, 2017-2019",1411324,TRUE,TRUE,TRUE,TRUE,MyrmidonReef.csv,MyrmidonReef_clim-SSTAARS.csv,MyrmidonReef_clim-FL.csv,MyrmidonReef_clim-SL.csv,site-7_MyrmidonReef.html
743,Rib Reef,TEMP-LOGGER,146.87505566666667,-18.485156338333333,2013-06-03T12:13:37Z,2018-02-24T23:50:00Z,"FL, SL, CH","RIBFL1|-18.47297003|146.87739, RIBSL1|-18.471858|146.878824, RIBCH2|-18.4901|146.87089, RIBCH1|-18.4901|146.87089, RIBCHS2M|-18.49184|146.87433, RIBCHS6M|-18.49201|146.87442, RIBCHS9M|-18.49216|146.87448","1.9, 9.4, 3.4, 3.3, 9.6, 2, NA, 10","2013, 2014, 2015, 2016, 2017, 2018",2013-2018,826940,TRUE,FALSE,FALSE,FALSE,RibReef.csv,RibReef_clim-SSTAARS.csv,NA,NA,site-743_RibReef.html
747,John Brewer,TEMP-LOGGER,147.0630986,-18.632479945,1996-04-23T12:00:00Z,2019-03-04T23:50:00Z,"SL, FL, CH","JBRSL1|-18.61881665|147.0814666, JBRFL1|-18.61895302|147.081091, JBRCH10M|-18.61882|147.08147, JBRCHS2M|-18.64604|147.04471, JBRCHS6M|-18.64611|147.04475, JBRCHS9M|-18.64614|147.045104, JBRFL2|-18.61882|147.08147, JBRCHN2M|-18.61882|147.08147, JBRCHN9M|-18.61882|147.08147","7.5, 3, 8, 2.8, NA","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2016, 2017, 2018, 2019","1996-2011, 2016-2019",1462782,TRUE,TRUE,TRUE,TRUE,JohnBrewer.csv,JohnBrewer_clim-SSTAARS.csv,JohnBrewer_clim-FL.csv,JohnBrewer_clim-SL.csv,site-747_JohnBrewer.html
856,Cattle Bay,TEMP-LOGGER,146.482454,-18.571541166666666,1993-02-11T18:00:00Z,2020-04-02T23:50:00Z,"FL, SL","CBFL2|-18.57185|146.483333, CBSL3|-18.57833|146.48167, CBFL1|-18.569066|146.482017, CBSL1|-18.569066|146.482017, CBFL3|-18.57833|146.48167, CBSL2|-18.571817|146.482983, CBFL4|-18.569117|146.482267, CBSL4|-18.569067|146.482017","3.5, 5, 4, 0, 6, 7, 3, 6.5, 2","1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1993-2020,1739562,TRUE,TRUE,TRUE,TRUE,CattleBay.csv,CattleBay_clim-SSTAARS.csv,CattleBay_clim-FL.csv,CattleBay_clim-SL.csv,site-856_CattleBay.html
858,Tydeman Cay,TEMP-LOGGER,144.50165333333334,-13.971466666666666,1996-12-07T11:00:00Z,2019-12-04T23:50:00Z,"SL, FL","TYDSL1|-13.97145|144.50168, TYDDSL1|-13.97143|144.50159, TYDFL1|-13.97152|144.50169","8, 24, 23.8, 7.7, 23.7, 7.8, 3.4, 7.1","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2011, 2012, 2013, 2017, 2018, 2019","1996-2008, 2011-2013, 2017-2019",735332,TRUE,TRUE,FALSE,TRUE,TydemanCay.csv,TydemanCay_clim-SSTAARS.csv,NA,TydemanCay_clim-SL.csv,site-858_TydemanCay.html
865,Hayman Island,TEMP-LOGGER,148.89081249999998,-20.049245005,1996-05-29T13:00:00Z,2017-02-27T23:50:00Z,"FL, SL","HAYFL1|-20.04128999|148.88194, HAYSL1|-20.05720002|148.899685","2.1, 9, 2, 8.9, 1.9, NA","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2005, 2006, 2007, 2008, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","1996-2002, 2005-2008, 2010-2017",760257,TRUE,TRUE,TRUE,TRUE,HaymanIsland.csv,HaymanIsland_clim-SSTAARS.csv,HaymanIsland_clim-FL.csv,HaymanIsland_clim-SL.csv,site-865_HaymanIsland.html
866,Daydream Island,TEMP-LOGGER,148.81215,-20.25575,1996-06-26T11:30:00Z,2018-06-20T14:20:00Z,"SL, FL","DAYSL1|-20.25575|148.81215, DAYFL1|-20.25575|148.81215","6.7, 7.2, 7, 4, 7.4, 3.6, 7.1, 3.7, 5, 2, 3.8","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",1996-2018,1273982,TRUE,TRUE,TRUE,TRUE,DaydreamIsland.csv,DaydreamIsland_clim-SSTAARS.csv,DaydreamIsland_clim-FL.csv,DaydreamIsland_clim-SL.csv,site-866_DaydreamIsland.html
868,Pelorus Island,TEMP-LOGGER,146.48865849999999,-18.540583,1993-08-04T16:00:00Z,2020-04-02T23:50:00Z,"SL, FL","PISL1|-18.540583|146.48855, PISL2|-18.540583|146.48855, PIFL1|-18.540583|146.488767","5.2, 4.9, 5, 3, 5.1, 2, 2.7","1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020","1993-2002, 2010-2020",1282292,TRUE,TRUE,TRUE,TRUE,PelorusIsland.csv,PelorusIsland_clim-SSTAARS.csv,PelorusIsland_clim-FL.csv,PelorusIsland_clim-SL.csv,site-868_PelorusIsland.html
876,Dip Reef,TEMP-LOGGER,147.4513289,-18.400956653333335,1996-04-25T22:00:00Z,2019-06-10T23:50:00Z,"SL, FL","DIPSL1|-18.39986659|147.4519, DIPFL1|-18.40148337|147.4510167, DIPSL2|-18.40152|147.45107","9, 3, 9.5, 6, 2.9","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2015, 2016, 2017, 2018, 2019","1996-2011, 2015-2019",719787,TRUE,TRUE,TRUE,TRUE,DipReef.csv,DipReef_clim-SSTAARS.csv,DipReef_clim-FL.csv,DipReef_clim-SL.csv,site-876_DipReef.html
