SITE_ID,SITE,TYPE,LONGITUDE,LATITUDE,DATE_START,DATE_END,LOCATIONS_AVAILABLE,LOCLATLON_PAIRS,NOMINAL_DEPTH_AVAILABLE,YEARS_AVAILABLE,YEAR_RANGE,NUMBER_RECORDS,CLIM_SSTAARS,CLIM_LOGGER,CLIM_FLAT,CLIM_SLOPE,FILE_DATA,FILE_CLIM_SSTAARS,FILE_CLIM_FLAT,FILE_CLIM_SLOPE,FILE_HTML_DASHBOARD,MMM
10001,Agincourt Reef Number 3,WEATHER-STATION,145.82251000000002,-15.982780000000002,1991-02-22T00:00:00Z,2020-05-13T03:00:00Z,"Agincourt_Weather Water Temperature @2.5m, Agincourt Reef Weather Station Water Temperature @2.5m, Agincourt_Weather Water Temperature @12m, Agincourt Reef Weather Station Water Temperature @12m, Agincourt Reef Weather Station Water Temperature @10m, Agincourt_Weather Water Temperature @6m, Agincourt Reef Weather Station Water Temperature @6m, Agincourt Reef Weather Station Water Temperature @1m",Agincourt Reef Number 3|145.82251|-15.98278,"2.5, 12, 10, 6, 1","2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 1991, 1992, 1993, 1994, 1995, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 1996","1991-1996, 1999-2010, 2013-2020",2392064,TRUE,FALSE,TRUE,TRUE,Agincourt.csv,Agincourt_weatherstation_clim-SSTAARS.csv,Agincourt_clim-FL.csv,Agincourt_clim-SL.csv,site-10001_Agincourt.html,28.69999935850501
10002,Cleveland Bay,WEATHER-STATION,146.89174686025405,-19.143399919173124,1990-07-03T04:00:00Z,2020-05-13T03:10:00Z,"Cleveland Bay North Cardinal Marker Water Temperature @1m, Cleveland Bay Weather Station Water Temperature @1m, Cleveland Bay Upwelling Detection Station Water Temperature @8m, Cleveland Bay Upwelling Detection Station Water Temperature @12m, Cleveland Bay Weather Station Water Temperature @12m, Cleveland Bay Upwelling Detection Station Water Temperature @1m, Cleveland Bay Weather Station Water Temperature @8m, Cleveland Bay Channel Marker 10 Historical Water Temperature @.5m","Cleveland Bay|146.88116|-19.15583, Cleveland Bay|146.889833333333|-19.141, Cleveland Bay|146.899|-19.13866, Cleveland Bay|146.890733|-19.138442, Cleveland Bay|146.864833|-19.1983","1.9, 1, 8, 12, 8.5, 0.5","1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 1990, 1991, 1992","1990-1992, 1999-2020",2223691,TRUE,FALSE,TRUE,TRUE,ClevelandBay.csv,ClevelandBay_weatherstation_clim-SSTAARS.csv,ClevelandBay_clim-FL.csv,ClevelandBay_clim-SL.csv,site-10002_ClevelandBay.html,28.789999356493354
10003,Davies Reef,WEATHER-STATION,147.6368894711937,-18.83262530723929,2008-09-17T05:00:00Z,2020-05-13T03:30:00Z,"Davies Reef Sensor Float 4 Water Temperature @.6m, Davies Reef Weather Station Water Temperature @8.5m, Davies Reef Sensor Float 3 Water Temperature @9.1m, Davies Reef Sensor Float 1 Water Temperature @.6m, Davies Reef Sensor Float 2 Water Temperature @6.5m, Davies Reef Sensor Float 2 Water Temperature @.6m, Davies Reef Sensor Float 5 Water Temperature @.6m, Davies Reef Platform Water Temperature @4m, Davies Reef Weather Station Water Temperature @4m, Davies Reef Sensor Float 5 Water Temperature @5.2m, Davies Reef Sensor Float 3 Water Temperature @.6m, Davies Reef Weather Station Water Temperature @18.5m, Davies Reef Weather Station Water Temperature @4m duplicate, Davies Reef Sensor Float 4 Water Temperature @10.7m, Davies Reef Sensor Float 1 Water Temperature @5m","Davies Reef|147.62921|-18.82907, Davies Reef|147.6345|-18.83162, Davies Reef|147.63223|-18.8356, Davies Reef|147.64076|-18.84162, Davies Reef|147.63406|-18.83677, Davies Reef|147.65244|-18.81872","0.6, 8.5, 9, 9.1, 7, 6.5, 4, 5.8, 5.2, 18.5, 10.9, 10.8, 10.7, 5.3, 5","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2008, 2016, 2017, 2018, 2019, 2020",2008-2020,6232585,TRUE,FALSE,TRUE,TRUE,DaviesReef.csv,DaviesReef_weatherstation_clim-SSTAARS.csv,ClevelandBay_clim-FL.csv,ClevelandBay_clim-SL.csv,site-10003_DaviesReef.html,28.38999936543405
10004,Hardy Reef,WEATHER-STATION,149.182583,-19.745928,1989-06-14T00:30:00Z,2017-03-27T23:30:00Z,"Hardy Reef Weather Station Water Temperature @9m, Hardy Reef Weather Station Water Temperature @2.5m",Hardy Reef|149.182583|-19.745928,"9, 2.5","1989, 1990, 1991, 1992, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002",1989-2017,1232322,TRUE,FALSE,TRUE,TRUE,HardyReef.csv,HardyReef_weatherstation_clim-SSTAARS.csv,HardyReef_clim-FL.csv,HardyReef_clim-SL.csv,site-10004_HardyReef.html,28.169999370351434
10005,Heron Island,WEATHER-STATION,151.96285943817884,-23.44911179707912,2008-12-01T02:00:00Z,2020-03-12T07:02:00Z,"Heron Island Relay Pole 7 Water Temperature @18m, Heron Island Relay Pole 5 Water Temperature @1.6m, Heron Island Sensor Float 1 Water Temperature @.3m, Heron Island Sensor Float 2 Water Temperature @.3m, Heron Island Relay Pole 8 Water Temperature @1m, Heron Island Relay Pole 7 Water Temperature @9m, Heron Island Relay Pole 7 Water Temperature @12m, Heron Island Relay Pole 2 Water Temperature @1.5m, Heron Island Relay Pole 7 Water Temperature @8m, Heron Island Sensor Float 5 Water Temperature @.3m, Heron Island Sensor Float 3 Water Temperature @.3m, Heron Island Relay Pole 7 Water Temperature @15m, Heron Island Sensor Float 4 Water Temperature @.3m, Heron Island Relay Pole 6 Water Temperature @1.5m, Heron Island Relay Pole 8 Water Temperature @5.4m, Heron Island Relay Pole 3 Water Temperature @2m, Heron Island Relay Pole 1 Water Temperature @1.7m, Heron Island Relay Pole 7 Water Temperature @5m, Heron Island Relay Pole 4 Water Temperature @1.8m","Heron Island|151.9299|-23.4587833333333, Heron Island|151.98386|-23.44822, Heron Island|151.93092|-23.44713, Heron Island|151.94705|-23.44807, Heron Island|151.9798|-23.44003, Heron Island|151.9462|-23.45319, Heron Island|151.98235|-23.44475, Heron Island|151.96306|-23.453, Heron Island|151.97662|-23.45794, Heron Island|151.97719|-23.46297, Heron Island|151.96608|-23.44709, Heron Island|151.94926|-23.44347, Heron Island|151.96078|-23.45797","18, 1.6, 0.3, 1, 9, 12, 1.5, 8, 0.6, 15, 5.4, 2, 1.7, 5, 1.8","2015, 2016, 2017, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2018, 2019, 2020",2008-2020,8915061,TRUE,FALSE,TRUE,TRUE,HeronIsland.csv,HeronIsland_weatherstation_clim-SSTAARS.csv,HardyReef_clim-FL.csv,HardyReef_clim-SL.csv,site-10005_HeronIsland.html,27.119999393820763
10006,Lizard Island,WEATHER-STATION,145.4594399668232,-14.691188199763978,2010-08-13T04:50:00Z,2020-05-13T04:15:00Z,"Lizard Island Relay Pole 2 Water Temperature @5m, Lizard Island Sensor Float 2 Water Temperature @10.9m, Lizard Island Sensor Float 4 Water Temperature @11.5m, Lizard Island Sensor Float 2 Water Temperature @5m, Lizard Island Relay Pole 2 Water Temperature @20.6m, Lizard Island Relay Pole 2 Water Temperature @21m, Lizard Island Sensor Float 1 Water Temperature @5.5m, Lizard Island Sensor Float 3 Water Temperature @8.8m, Lizard Island Sensor Float 3 Water Temperature @9m, Lizard Island Sensor Float 1 Water Temperature @.6m, Lizard Island Sensor Float 4 Water Temperature @6m, Lizard Island Relay Pole 2 Water Temperature @10.1m, Lizard Island Relay Pole 2 Water Temperature @10m, Lizard Island Sensor Float 2 Water Temperature @.6m, Lizard Island Sensor Float 4 Water Temperature @8m, Lizard Island Sensor Float 3 Water Temperature @.6m, Lizard Island Sensor Float 1 Water Temperature @6m","Lizard Island|145.466417|-14.6915, Lizard Island|145.45705|-14.694067, Lizard Island|145.43995|-14.683833, Lizard Island|145.446767|-14.697167, Lizard Island|145.4635|-14.68752","5, 10.6, 10.9, 11.5, 20.6, 21, 5.5, 8, 8.8, 9, 0.6, 6, 10, 10.1, 5.9","2010, 2012, 2013, 2014, 2020, 2015, 2011, 2017, 2018, 2019, 2016",2010-2020,4096234,TRUE,FALSE,TRUE,TRUE,LizardIsland.csv,LizardIsland_weatherstation_clim-SSTAARS.csv,HardyReef_clim-FL.csv,HardyReef_clim-SL.csv,site-10006_LizardIsland.html,28.57999936118722
10007,Myrmidon Reef,WEATHER-STATION,147.38168097879395,-18.274166269024217,1987-11-01T14:00:00Z,2020-05-13T04:00:00Z,"Myrmidon Reef Platform Water Temperature @4.7m, Myrmidon Reef Weather Station Water Temperature @4.7m, Myrmidon Reef Weather Station Water Temperature @2.5m, Myrmidon Reef Weather Station Water Temperature @1m, Myrmidon Reef Weather Station Water Temperature @2m, Myrmidon Reef Weather Station Water Temperature @7.3m, Myrmidon Reef Weather Station Water Temperature @14.7m","Myrmidon Reef|147.381736|-18.274247, Myrmidon Reef|147.3803|-18.27214","5, 4.7, 2.5, 1, 2, 7, 7.3, 18, 14.7","1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2017, 2018, 2019, 2020, 2015, 2016, 2012","1987-2012, 2015-2020",1852770,TRUE,FALSE,TRUE,TRUE,MyrmidonReef.csv,MyrmidonReef_weatherstation_clim-SSTAARS.csv,MyrmidonReef_clim-FL.csv,MyrmidonReef_clim-SL.csv,site-10007_MyrmidonReef.html,28.489999363198876
10008,One Tree Island,WEATHER-STATION,152.06330611411605,-23.498635565958182,2008-11-19T21:20:00Z,2018-05-22T07:12:00Z,"One Tree Island Relay Pole 1 Water Temperature @3.1m, One Tree Island Relay Pole 1 Water Temperature @0m 2015, One Tree Island Relay Pole 2 Water Temperature @2.5m, One Tree Island Relay Pole 1 Water Temperature @1m 2015, One Tree Island Relay Pole 2 Water Temperature @.5m, One Tree Island Relay Pole 1 Water Temperature @.9m, One Tree Island Relay Pole 1 Water Temperature @1.5m, One Tree Island Relay Pole 1 Water Temperature @.5m 2015, One Tree Island Relay Pole 2 Water Temperature @4.9m, One Tree Island Relay Pole 1 Water Temperature @1.5m 2015, One Tree Island Relay Pole 2 Water Temperature @3.5m, One Tree Island Relay Pole 2 Water Temperature @1.6m, One Tree Island Relay Pole 1 Water Temperature @0m, One Tree Island Relay Pole 3 Water Temperature @1m, One Tree Island Relay Pole 3 Water Temperature @1.5m, One Tree Island Relay Pole 3 Water Temperature @3.5m, One Tree Island Relay Pole 1 Water Temperature @.2m, One Tree Island Relay Pole 3 Water Temperature @4.5m, One Tree Island Relay Pole 2 Water Temperature @1.4m, One Tree Island Relay Pole 1 Water Temperature @2m 2015, One Tree Island Relay Pole 1 Water Temperature @2m, One Tree Island Relay Pole 3 Water Temperature @2.5m, One Tree Island Relay Pole 2 Water Temperature @4m, One Tree Island Relay Pole 3 Water Temperature @5.4m, One Tree Island Relay Pole 1 Water Temperature @1m, One Tree Island Relay Pole 3 Water Temperature @5m","One Tree Island|152.07895|-23.49705, One Tree Island|152.06393|-23.50019, One Tree Island|152.05275|-23.49787","3.1, 0, 2.5, 1, 0.5, 0.9, 1.5, 4.9, 3.5, 1.6, 0.2, 4.5, 1.4, 2, 4, 5.7, 5.4, 5","2010, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2008, 2009, 2011",2008-2018,12746675,TRUE,FALSE,TRUE,TRUE,OneTreeIsland.csv,OneTreeIsland_weatherstation_clim-SSTAARS.csv,MyrmidonReef_clim-FL.csv,MyrmidonReef_clim-SL.csv,site-10008_OneTreeIsland.html,27.129999393597245
10009,Halftide Rocks AWS/Square Rocks,WEATHER-STATION,150.89256730702166,-23.105964188240126,2000-07-26T03:00:00Z,2020-05-13T05:00:00Z,"Square Rocks Weather Station Water Temperature @7.9m, Square Rocks Platform Water Temperature @2.9m, Square Rocks Weather Station Water Temperature @2.9m","Halftide Rocks AWS|150.93832|-23.15378, Square Rocks|150.88554|-23.09862","7.2, 7.9, 2.4, 2.9","2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",2000-2020,1868422,TRUE,FALSE,TRUE,TRUE,SquareRocks.csv,SquareRocks_weatherstation_clim-SSTAARS.csv,SquareRocks_clim-FL.csv,SquareRocks_clim-SL.csv,site-10009_SquareRocks.html,27.57999938353896
10010,Yongala,WEATHER-STATION,147.620452880859,-19.303716659545895,2010-08-24T02:45:00Z,2020-03-16T10:00:00Z,"Yongala NRS Buoy Water Temperature @26m, Yongala NRS Buoy Water Temperature @20m, Yongala NRS Buoy Water Temperature @28.8m From teledyne, Yongala NRS Buoy Water Temperature @.6m, Yongala NRS Buoy Water Temperature @15m Realtime, Yongala NRS Buoy Water Temperature @4.1m Realtime",Yongala|147.620452880859|-19.3037166595459,"28.8, 26, 20, 1.3, 1.8, 1, 0.6, 15, 4.1","2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2010, 2011","2010, 2011, 2013-2020",523888,TRUE,FALSE,TRUE,TRUE,Yongala.csv,Yongala_weatherstation_clim-SSTAARS.csv,SquareRocks_clim-FL.csv,SquareRocks_clim-SL.csv,site-10010_Yongala.html,28.42999936453998
